N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
402      0        2200       2096       0        0         0         0.000758
403      0        2200       2096       0        0         0         0.000787
404      0        2200       2091       0        0         0         0.000787
405      0        2200       2091       0        0         0         0.000772
406      0        2200       2096       0        0         0         0.000780
407      0        2200       2091       0        0         0         0.000795
408      0        2200       2096       0        0         0         0.000780
409      0        2200       2096       0        0         0         0.000772
410      0        2200       2096       0        0         0         0.000772
411      0        2200       2091       0        0         0         0.000787
412      0        2200       2096       0        0         0         0.000772
413      0        2200       2091       0        0         0         0.000787
414      0        2200       2091       0        0         0         0.000772
415      0        2200       2091       0        0         0         0.000772
416      0        2200       2091       0        0         0         0.000780
417      0        2200       2096       0        0         0         0.000780
418      0        2200       2096       0        0         0         0.000758
419      0        2200       2096       0        0         0         0.000802
420      0        2200       2096       0        0         0         0.000787
421      0        2200       2091       0        0         0         0.000787
422      0        2200       2091       0        0         0         0.000811
423      0        2200       2088       0        0         0         0.002971
424      0        2200       2091       0        0         0         0.000886
425      0        2200       2096       0        0         0         0.000915
426      0        2200       2091       0        0         0         0.000802
427      0        2200       2096       0        0         0         0.000863
428      0        2200       2096       0        0         0         0.000855
429      0        2200       2091       0        0         0         0.000787
430      0        2200       2096       0        0         0         0.000811
431      0        2200       2091       0        0         0         0.000780
432      0        2200       2096       0        0         0         0.000780
433      0        2200       2091       0        0         0         0.000780
434      0        2200       2092       0        0         0         0.000751
435      0        2200       2091       0        0         0         0.000780
436      0        2200       2091       0        0         0         0.000772
437      0        2200       2096       0        0         0         0.000772
438      0        2200       2096       0        0         0         0.000772
439      0        2200       2096       0        0         0         0.000766
440      0        2200       2096       0        0         0         0.000795
441      0        2200       2096       0        0         0         0.000780
442      0        2200       2096       0        0         0         0.000780
443      0        2200       2096       0        0         0         0.000766
444      0        2200       2096       0        0         0         0.000766
445      0        2200       2096       0        0         0         0.000766
446      0        2200       2096       0        0         0         0.000780
447      0        2200       2097       0        0         0         0.000743
448      0        2200       2092       0        0         0         0.000743
449      0        2200       2097       0        0         0         0.000736
450      0        2200       2092       0        0         0         0.000736
451      0        2200       2092       0        0         0         0.000743
